rank,name,forbes_id,net_worth,age,age_range,country,source,industry,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Bachelor,Master,Doctorate,Drop Out,Self Made
659,Dewi Kam,dewi-kam,4.2,72.0,8,Indonesia,Coal,Energy,73.0,"Coal, Self Made",,,"Jakarta, Indonesia",Indonesia,Married,,,,,,,1
659,Min Kao & family,min-kao,4.2,74.0,8,United States,Navigation equipment,Technology,74.0,"Navigation equipment, Self Made",8.0,2.0,"Leawood, Kansas",United States,Married,2.0,"Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville",1.0,1.0,1.0,0.0,1
659,Marc Ladreit de Lacharriere,marc-ladreit-de-lacharriere,4.2,82.0,9,France,Finance,Finance & Investments,82.0,"Finance, Self Made",,,"Paris, France",France,Divorced,4.0,,,,,,1
659,Eric Lefkofsky,eric-lefkofsky,4.2,53.0,6,United States,"Groupon, investments",Technology,53.0,"Groupon, investments, Self Made",8.0,2.0,"Glencoe, Illinois",United States,Married,3.0,"Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan",1.0,0.0,0.0,0.0,1
659,Lin Bin,lin-bin,4.2,55.0,6,United States,Smartphones,Technology,55.0,"Smartphones, Self Made",8.0,,"Shenzhen, China",United States,,,"Master, Drexel University; Bachelor of Arts/Science, Sun Yat-sen University",1.0,1.0,0.0,0.0,1
659,Lin Li,lin-li,4.2,59.0,6,China,Investments,Finance & Investments,60.0,"Investments, Self Made",,,"Shenzhen, China",China,Married,1.0,"Chinese Academy of Social Sciences; Bachelor of Arts/Science, Hubei University of Technology",1.0,0.0,0.0,0.0,1
659,Michael Moritz,michael-moritz,4.2,68.0,7,United States,Venture capital,Technology,68.0,"Venture capital, Self Made",,,,,,,,,,,,1
659,Jean (Gigi) Pritzker,jean-gigi-pritzker,4.2,60.0,6,United States,"Hotels, investments",Service,61.0,"Hotels, investments",3.0,2.0,"Los Angeles, California",United States,Married,3.0,"Bachelor of Arts/Science, Stanford University",1.0,0.0,0.0,0.0,0
659,E. Joe Shoen,e-joe-shoen,4.2,73.0,8,United States,U-Haul,Automotive,73.0,U-Haul,5.0,,"Phoenix, Arizona",United States,Married,,"Bachelor of Arts/Science, College of the Holy Cross; Master of Business Administration, Harvard Business School",1.0,1.0,0.0,0.0,0
659,Jeff Skoll,jeff-skoll,4.2,58.0,6,United States,EBay,Technology,58.0,"EBay, Self Made",6.0,4.0,"Los Angeles, California",United States,Single,,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Toronto",1.0,1.0,0.0,0.0,1
659,Lynsi Snyder,lynsi-snyder,4.2,40.0,4,United States,In-N-Out Burger,Food & Beverage,41.0,In-N-Out Burger,3.0,1.0,"Glendora, California",United States,Married,,,,,,,0
659,Djoko Susanto,djoko-susanto,4.2,73.0,8,Indonesia,Supermarkets,Fashion & Retail,73.0,"Supermarkets, Self Made",,,"Jakarta, Indonesia",Indonesia,Married,5.0,,,,,,1
659,Tahir & family,tahir,4.2,71.0,8,Indonesia,Diversified,Diversified,71.0,"Diversified, Self Made",,,"Jakarta, Indonesia",Indonesia,Married,4.0,"Master of Business Administration, Golden Gate University; Bachelor of Arts/Science, Nan Yang University",1.0,1.0,0.0,0.0,1
659,Peter Thiel,peter-thiel,4.2,55.0,6,United States,"Facebook, investments",Finance & Investments,55.0,"Facebook, investments, Self Made",,,,,,,,,,,,1
679,Andrej Babis,andrej-babis,4.1,68.0,7,Czech Republic,Agriculture,Food & Beverage,68.0,"Agriculture, Self Made",,,"Prague, Czech Republic",Czech Republic,Married,4.0,"Master, University of Economics in Bratislava (UEB)",0.0,1.0,0.0,0.0,1
679,Danielle Bellon & family,danielle-bellon,4.1,83.0,9,France,Food services,Service,83.0,Food services,,,"Paris, France",France,Widowed,4.0,,,,,,0
679,Hubert Burda,hubert-burda,4.1,83.0,9,Germany,Publishing,Media & Entertainment,83.0,Publishing,,,"Munich, Germany",Germany,Married,2.0,"Bachelor of Arts/Science, Ludwig Maxmilian University",1.0,0.0,0.0,0.0,0
679,Nick Caporella,nick-caporella,4.1,87.0,9,United States,Beverages,Food & Beverage,87.0,"Beverages, Self Made",9.0,,"Plantation, Florida",United States,Married,4.0,,,,,,1
679,John Catsimatidis,john-catsimatidis,4.1,74.0,8,United States,"Oil, real estate",Energy,74.0,"Oil, real estate, Self Made",10.0,1.0,"New York, New York",United States,Married,2.0,"Drop Out, New York University",0.0,0.0,0.0,1.0,1
679,Scott Cook,scott-cook,4.1,70.0,7,United States,Software,Technology,71.0,"Software, Self Made",8.0,3.0,"Woodside, California",United States,Married,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California",1.0,1.0,0.0,0.0,1
679,Luca Garavoglia,luca-garavoglia,4.1,54.0,6,Italy,Spirits,Food & Beverage,54.0,Spirits,,,"Milan, Italy",Italy,,,"Bachelor of Commerce, Bocconi University",1.0,0.0,0.0,0.0,0
679,Antti Herlin,antti-herlin,4.1,66.0,7,Finland,"Elevators, escalators",Manufacturing,66.0,"Elevators, escalators",,,"Kirkkonummi, Finland",Finland,Married,4.0,,,,,,0
679,Hong Jie,hong-jie,4.1,55.0,6,China,Paint,Manufacturing,55.0,"Paint, Self Made",,,"Putian, China",China,,,,,,,,1
679,"Jeremy Jacobs, Sr. & family",jeremy-jacobs-sr,4.1,83.0,9,United States,Food service,Service,83.0,Food service,5.0,2.0,"East Aurora, New York",United States,Married,6.0,"Bachelor of Arts/Science, SUNY Buffalo",1.0,0.0,0.0,0.0,0
679,Igor Kesaev,igor-kesaev,4.1,56.0,6,Russia,"Tobacco distribution, retail",Fashion & Retail,56.0,"Tobacco distribution, retail, Self Made",,,"Moscow, Russia",Russia,Married,3.0,"Master, Moscow Institute of International Relations",0.0,1.0,0.0,0.0,1
679,Mary Alice Dorrance Malone,mary-alice-dorrance-malone,4.1,73.0,8,United States,Campbell Soup,Food & Beverage,73.0,Campbell Soup,2.0,1.0,"Coatesville, Pennsylvania",United States,Divorced,2.0,"Bachelor of Arts/Science, University of Arizona",1.0,0.0,0.0,0.0,0
679,Joao Moreira Salles,joao-moreira-salles,4.1,61.0,7,Brazil,"Banking, minerals",Diversified,61.0,"Banking, minerals",,,"Rio de Janeiro, Brazil",Brazil,Divorced,1.0,,,,,,0
679,Walther Moreira Salles Junior,walther-moreira-salles-junior,4.1,66.0,7,Brazil,"Banking, minerals",Finance & Investments,67.0,"Banking, minerals",,,"Rio de Janeiro, Brazil",Brazil,Married,1.0,"Bachelor of Arts/Science, University of Southern California",1.0,0.0,0.0,0.0,0
679,Arturo Moreno,arturo-moreno,4.1,76.0,8,United States,"Billboards, Los Angeles Angels",Sports,77.0,"Billboards, Los Angeles Angels, Self Made",8.0,2.0,"Phoenix, Arizona",United States,Married,3.0,"Bachelor of Arts/Science, University of Arizona",1.0,0.0,0.0,0.0,1
679,Peter Spuhler,peter-spuhler,4.1,63.0,7,Switzerland,Train cars,Manufacturing,63.0,"Train cars, Self Made",,,"Weiningen, Switzerland",Switzerland,Married,2.0,,,,,,1
679,Donald Sterling,donald-sterling,4.1,88.0,9,United States,Real estate,Real Estate,89.0,"Real estate, Self Made",8.0,1.0,"Beverly Hills, California",United States,Married,3.0,"Bachelor of Arts/Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School",1.0,0.0,0.0,0.0,1
679,Kerry Stokes,kerry-stokes,4.1,82.0,9,Australia,"Construction equipment, media",Diversified,82.0,"Construction equipment, media, Self Made",,,"Perth, Australia",Australia,Married,4.0,,,,,,1
679,Ken Xie,ken-xie,4.1,60.0,6,United States,Cybersecurity,Technology,60.0,"Cybersecurity, Self Made",8.0,1.0,"Los Altos Hills, California",United States,Married,,"Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University",1.0,1.0,0.0,0.0,1
679,Liangzhi Xie & family,liangzhi-xie,4.1,57.0,6,China,Biotech,Healthcare,57.0,"Biotech, Self Made",,,"Beijing, China",China,Married,,"Ph.D, Massachusetts Institute of Technology",0.0,0.0,0.0,0.0,1
699,Sid Bass,sid-bass,4.0,80.0,8,United States,"Oil, investments",Energy,81.0,"Oil, investments",4.0,2.0,"Fort Worth, Texas",United States,Divorced,2.0,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",1.0,1.0,0.0,0.0,0
699,Ben Chestnut,ben-chestnut,4.0,48.0,5,United States,Email marketing,Technology,49.0,"Email marketing, Self Made",8.0,1.0,"Atlanta, Georgia",United States,Married,2.0,"Bachelor of Arts/Science, Georgia Institute of Technology",1.0,0.0,0.0,0.0,1
699,Elisabeth DeLuca & family,elisabeth-deluca,4.0,75.0,8,United States,Subway,Food & Beverage,76.0,Subway,,,,United States,Widowed,1.0,,,,,,0
699,Guangchang Guo,guangchang-guo,4.0,56.0,6,China,Conglomerate,Diversified,56.0,"Conglomerate, Self Made",,,"Shanghai, China",China,Married,3.0,"Bachelor of Arts/Science, Fudan University; Master of Business Administration, Fudan University",1.0,1.0,0.0,0.0,1
699,Vinod Rai Gupta,vinod-rai-gupta,4.0,77.0,8,India,Electrical equipment,Manufacturing,77.0,Electrical equipment,,,"Delhi, India",India,,,,,,,,0
699,John Henry,john-henry,4.0,73.0,8,United States,Sports,Sports,73.0,"Sports, Self Made",7.0,1.0,"Boca Raton, Florida",United States,Married,2.0,,,,,,1
699,Travis Kalanick,travis-kalanick,4.0,46.0,5,United States,Uber,Technology,47.0,"Uber, Self Made",8.0,1.0,"Los Angeles, California",United States,Single,,"Drop Out, University of California, Los Angeles",0.0,0.0,0.0,1.0,1
699,Koon Poh Keong,koon-poh-keong,4.0,61.0,7,Malaysia,Aluminum,Manufacturing,62.0,"Aluminum, Self Made",,,"Petaling Jaya, Malaysia",Malaysia,Married,,"Bachelor of Engineering, University of Oklahoma",1.0,0.0,0.0,0.0,1
699,Dan Kurzius,dan-kurzius,4.0,51.0,6,United States,Email marketing,Technology,51.0,"Email marketing, Self Made",9.0,1.0,"Atlanta, Georgia",United States,Married,2.0,"High School Graduate, High School",0.0,0.0,0.0,0.0,1
699,Paul Lee,paul-lee-1,4.0,65.0,7,United States,Battery separators,Manufacturing,65.0,"Battery separators, Self Made",8.0,,"Yuxi, China",United States,Married,,"Master of Science, University of Massachusetts",0.0,1.0,0.0,0.0,1
699,Tobi Lutke,tobi-lutke,4.0,42.0,5,Canada,E-commerce,Technology,43.0,"E-commerce, Self Made",8.0,,"Ottawa, Canada",Canada,Married,3.0,,,,,,1
699,Gail Miller,gail-miller,4.0,79.0,8,United States,Car dealerships,Automotive,79.0,"Car dealerships, Self Made",7.0,2.0,"Salt Lake City, Utah",United States,"Widowed, Remarried",5.0,"Drop Out, University of Utah",0.0,0.0,0.0,1.0,1
699,Rajan Mittal,rajan-mittal,4.0,63.0,7,India,Telecom,Telecom,63.0,Telecom,,,"Delhi, India",India,Married,,"Bachelor of Arts/Science, Punjab University",1.0,0.0,0.0,0.0,0
699,Rakesh Mittal,rakesh-mittal,4.0,67.0,7,India,Telecom,Telecom,67.0,Telecom,,,"Delhi, India",India,Married,,"Bachelor of Arts/Science, Punjab University",1.0,0.0,0.0,0.0,0
699,Isaac Perlmutter,isaac-perlmutter,4.0,80.0,8,United States,Marvel comics,Media & Entertainment,80.0,"Marvel comics, Self Made",10.0,1.0,"Palm Beach, Florida",United States,Married,,"High School Graduate, High School",0.0,0.0,0.0,0.0,1
699,"Bernard Saul, II.",bernard-saul-ii,4.0,90.0,9,United States,"Banking, real estate",Finance & Investments,91.0,"Banking, real estate",5.0,,"Chevy Chase, Maryland",United States,Married,5.0,"LLB, University of Virginia; Bachelor of Arts/Science, Villanova University",1.0,0.0,0.0,0.0,0
699,Shaul Shani,shaul-shani,4.0,68.0,7,Israel,Telecom,Telecom,68.0,"Telecom, Self Made",,,"Milan, Italy",Israel,,,,,,,,1
699,Steven Spielberg,steven-spielberg,4.0,76.0,8,United States,Movies,Media & Entertainment,76.0,"Movies, Self Made",8.0,3.0,"Pacific Palisades, California",United States,Married,7.0,"Bachelor of Arts/Science, California State Long Beach",1.0,0.0,0.0,0.0,1
699,Jerzy Starak,jerzy-starak,4.0,75.0,8,Poland,Pharmaceuticals,Healthcare,75.0,"Pharmaceuticals, Self Made",,,"Konstancin, Poland",Poland,Married,3.0,,,,,,1
699,Torbjorn Tornqvist,torbjorn-tornqvist,4.0,69.0,7,Sweden,Oil trading,Energy,69.0,"Oil trading, Self Made",,,"Geneva, Switzerland",Sweden,,,"Graduate, Stockholm University",0.0,0.0,0.0,0.0,1
699,Rufino Vigil Gonzalez,rufino-vigil-gonzalez,4.0,74.0,8,Mexico,Steel,Metals & Mining,75.0,"Steel, Self Made",,,"Mexico City, Mexico",Mexico,Married,4.0,"Bachelor of Arts/Science, Universidad Iberoamericana",1.0,0.0,0.0,0.0,1
699,Zhang Daocai,zhang-daocai,4.0,73.0,8,China,Valves,Diversified,73.0,"Valves, Self Made",,,"Shaoxing, China",China,,2.0,,,,,,1
721,Juergen Blickle,juergen-blickle,3.9,76.0,8,Germany,Auto parts,Manufacturing,76.0,Auto parts,,,"Bruchsal, Germany",Germany,Married,,,,,,,0
721,"Austen Cargill, II.",austen-cargill-ii,3.9,72.0,8,United States,Cargill,Food & Beverage,72.0,Cargill,1.0,1.0,"Livingston, Montana",United States,Divorced,2.0,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota",1.0,1.0,1.0,0.0,0
721,"James Cargill, II.",james-cargill-ii,3.9,73.0,8,United States,Cargill,Food & Beverage,74.0,Cargill,1.0,1.0,"Birchwood, Wisconsin",United States,Married,2.0,,,,,,0
721,Vanich Chaiyawan,vanich-chaiyawan,3.9,91.0,10,Thailand,"Insurance, beverages",Finance & Investments,91.0,"Insurance, beverages, Self Made",,,"Bangkok, Thailand",Thailand,Married,8.0,,,,,,1
721,Dongsheng Chen,dongsheng-chen,3.9,65.0,7,China,Insurance,Finance & Investments,65.0,"Insurance, Self Made",,,"Beijing, China",China,Married,,,,,,,1
721,Mong-Koo Chung,mong-koo-chung,3.9,85.0,9,South Korea,Hyundai,Automotive,85.0,Hyundai,,,"Seoul, South Korea",South Korea,Married,4.0,"Bachelor of Arts/Science, Hanyang University",1.0,0.0,0.0,0.0,0
721,Kenneth Dart,kenneth-dart,3.9,67.0,7,Belize,Investments,Finance & Investments,68.0,Investments,,,"George Town, Cayman Islands",Belize,Married,3.0,"Bachelor of Engineering, University of Michigan",1.0,0.0,0.0,0.0,0
721,Giuseppe De'Longhi & family,giuseppe-delonghi,3.9,83.0,9,Italy,Coffee makers,Fashion & Retail,84.0,Coffee makers,,,"Treviso, Italy",Italy,Divorced,2.0,"Bachelor of Arts/Economics, Università Cà Foscari di Venezia",1.0,0.0,0.0,0.0,0
721,Guenther Fielmann & family,guenther-fielmann,3.9,83.0,9,Germany,Optometry,Healthcare,83.0,"Optometry, Self Made",,,"Hamburg, Germany",Germany,In Relationship,2.0,,,,,,1
721,W. Herbert Hunt,w-herbert-hunt,3.9,94.0,10,United States,Oil,Energy,94.0,Oil,4.0,1.0,"Dallas, Texas",United States,Married,5.0,"Bachelor of Arts/Science, Washington & Lee University",1.0,0.0,0.0,0.0,0
721,James Irsay,james-irsay,3.9,63.0,7,United States,Indianapolis Colts,Sports,64.0,Indianapolis Colts,2.0,1.0,"Carmel, Indiana",United States,Divorced,3.0,"Bachelor of Arts/Science, Southern Methodist University",1.0,0.0,0.0,0.0,0
721,Somurai Jaruphnit,somurai-jaruphnit,3.9,,0,Thailand,Diversified,Diversified,,Diversified,,,"Bangkok, Thailand",Thailand,,,,,,,,0
721,Marianne Liebmann,marianne-liebmann,3.9,69.0,7,United States,Cargill,Food & Beverage,70.0,Cargill,1.0,1.0,"Bozeman, Montana",United States,Married,2.0,"Bachelor of Arts/Science, Montana State University",1.0,0.0,0.0,0.0,0
721,Jorge Moll Filho & family,jorge-moll-filho,3.9,78.0,8,Brazil,Hospitals,Healthcare,78.0,"Hospitals, Self Made",,,"Rio de Janeiro, Brazil",Brazil,Married,5.0,"Masters of Public Health, Universidade Federal do Rio de Janeiro",0.0,1.0,0.0,0.0,1
721,Fernando Roberto Moreira Salles,fernando-roberto-moreira-salles,3.9,76.0,8,Brazil,"Banking, minerals",Diversified,77.0,"Banking, minerals",,,"Sao Paulo, Brazil",Brazil,Married,2.0,"Bachelor of Arts/Science, Fundacao Getulio Vargas",1.0,0.0,0.0,0.0,0
721,Pedro Moreira Salles,pedro-moreira-salles,3.9,63.0,7,Brazil,"Banking, minerals",Diversified,63.0,"Banking, minerals",,,"Sao Paulo, Brazil",Brazil,Married,2.0,"Bachelor of Arts/Science, University of California, Los Angeles",1.0,0.0,0.0,0.0,0
721,Gabe Newell,gabe-newell,3.9,60.0,6,United States,Videogames,Gambling & Casinos,60.0,"Videogames, Self Made",8.0,,"Seattle, Washington",United States,Divorced,2.0,"Drop Out, Harvard University",0.0,0.0,0.0,1.0,1
721,Alfred Oetker,alfred-oetker,3.9,56.0,6,Germany,Consumer goods,Fashion & Retail,56.0,Consumer goods,,,"Bielefeld, Germany",Germany,Married,,,,,,,0
721,Carl Ferdinand Oetker,carl-ferdinand-oetker,3.9,50.0,5,Germany,Consumer goods,Fashion & Retail,50.0,Consumer goods,,,"Bielefeld, Germany",Germany,,,,,,,,0
721,Julia Oetker,julia-oetker,3.9,44.0,5,Germany,Consumer goods,Fashion & Retail,44.0,Consumer goods,,,"Bielefeld, Germany",Germany,,,,,,,,0
721,Ruan Hongliang & family,ruan-hongliang,3.9,62.0,7,China,Glass,Manufacturing,62.0,"Glass, Self Made",,,"Jiaxing, China",China,Married,,,,,,,1
721,Mark Stevens,mark-stevens,3.9,63.0,7,United States,Venture capital,Finance & Investments,63.0,"Venture capital, Self Made",9.0,2.0,"Steamboat Springs, Colorado",United States,Married,3.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",1.0,1.0,0.0,0.0,1
721,Tsai Hong-tu,tsai-hong-tu,3.9,70.0,7,Taiwan,Finance,Finance & Investments,71.0,Finance,,,"Taipei, Taiwan",Taiwan,Married,3.0,"Law Degree, National Taiwan University; Ph.D, Southern Methodist University",0.0,0.0,0.0,0.0,0
721,Nusli Wadia,nusli-wadia,3.9,79.0,8,India,Consumer goods,Food & Beverage,79.0,Consumer goods,,,"Mumbai, India",India,Married,2.0,,,,,,0
721,Wu Yiling,wu-yiling,3.9,73.0,8,China,Pharmaceuticals,Healthcare,73.0,"Pharmaceuticals, Self Made",,,"Shijiazhuang, China",China,Married,2.0,"Medical Doctor, Hebei Medical University; Medical Doctor, Nanjing University of Chinese Medicine",0.0,0.0,0.0,0.0,1
721,Yu Renrong,yu-renrong,3.9,57.0,6,China,Semiconductors,Manufacturing,57.0,"Semiconductors, Self Made",,,"Ningbo, China",China,,,"Bachelor of Science in Engineering, Tsinghua University",1.0,0.0,0.0,0.0,1
721,Zhu Baoguo & family,zhu-baoguo,3.9,60.0,6,China,Pharmaceuticals,Healthcare,61.0,"Pharmaceuticals, Self Made",,,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Henan Normal University",1.0,0.0,0.0,0.0,1
748,Rahul Bhatia,rahul-bhatia-1,3.8,63.0,7,India,Aviation,Service,64.0,Aviation,,,"Delhi, India",India,Married,2.0,"Master of Science, University of Waterloo",0.0,1.0,0.0,0.0,0
748,Francesco Gaetano Caltagirone,francesco-gaetano-caltagirone,3.8,80.0,8,Italy,"Cement, diversified",Construction & Engineering,80.0,"Cement, diversified, Self Made",,,"Rome, Italy",Italy,Married,3.0,,,,,,1
748,Barry Diller,barry-diller,3.8,81.0,9,United States,Online media,Media & Entertainment,81.0,"Online media, Self Made",9.0,3.0,"New York, New York",United States,Married,,"Drop Out, University of California, Los Angeles",0.0,0.0,0.0,1.0,1
748,Wesley Edens,wesley-edens,3.8,61.0,7,United States,Investments,Finance & Investments,61.0,"Investments, Self Made",8.0,,"New York, New York",United States,Married,4.0,"Bachelor of Arts/Science, Oregon State University",1.0,0.0,0.0,0.0,1
748,Stephen Feinberg,stephen-feinberg,3.8,63.0,7,United States,Private equity,Finance & Investments,63.0,"Private equity, Self Made",8.0,,"New York, New York",United States,Married,3.0,"Bachelor of Arts/Science, Princeton University",1.0,0.0,0.0,0.0,1
748,Rakesh Gangwal,rakesh-gangwal,3.8,69.0,7,United States,Airline,Service,70.0,"Airline, Self Made",8.0,1.0,"Miami, Florida",United States,Married,1.0,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",1.0,1.0,0.0,0.0,1
748,Joseph Grendys,joseph-grendys,3.8,61.0,7,United States,Poultry processing,Food & Beverage,61.0,"Poultry processing, Self Made",7.0,1.0,"Chicago, Illinois",United States,Single,,"Bachelor of Arts/Science, Loyola University Chicago",1.0,0.0,0.0,0.0,1
748,Martha Ingram & family,martha-ingram,3.8,87.0,9,United States,"Book distribution, transportation",Media & Entertainment,88.0,"Book distribution, transportation",4.0,1.0,"Nashville, Tennessee",United States,Widowed,4.0,"Bachelor of Arts/Science, Vassar College",1.0,0.0,0.0,0.0,0
748,Li Xiang,li-xiang,3.8,41.0,5,China,Electric vehicles,Automotive,41.0,"Electric vehicles, Self Made",,,"Beijing, China",China,,,,,,,,1
748,"H. Ross Perot, Jr.",h-ross-perot-jr,3.8,64.0,7,United States,Real estate,Real Estate,64.0,Real estate,4.0,2.0,"Dallas, Texas",United States,Married,4.0,"Bachelor of Arts/Science, Vanderbilt University",1.0,0.0,0.0,0.0,0
748,Chandru Raheja,chandru-raheja,3.8,82.0,9,India,Real estate,Real Estate,82.0,Real estate,,,"Mumbai, India",India,Married,2.0,"LLB, University of Mumbai",0.0,0.0,0.0,0.0,0
748,Trevor Rees-Jones,trevor-rees-jones,3.8,71.0,8,United States,Oil & gas,Energy,72.0,"Oil & gas, Self Made",7.0,4.0,"Dallas, Texas",United States,Married,2.0,"Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University",1.0,0.0,0.0,0.0,1
748,Yasumitsu Shigeta,yasumitsu-shigeta,3.8,58.0,6,Japan,Mobile phone retailer,Telecom,58.0,"mobile phone retailer, Self Made",,,"Tokyo, Japan",Japan,Married,3.0,"Drop Out, Nihon University",0.0,0.0,0.0,1.0,1
748,Su Qingcan,su-qingcan,3.8,54.0,6,China,Healthcare,Healthcare,54.0,"Healthcare, Self Made",,,"Xiamen, China",China,,,,,,,,1
748,Tsai Cheng-ta,tsai-cheng-ta,3.8,73.0,8,Taiwan,Finance,Finance & Investments,73.0,Finance,,,"Taipei, Taiwan",Taiwan,Married,,Chinese Culture University,0.0,0.0,0.0,0.0,0
748,Steven Udvar-Hazy,steven-udvar-hazy,3.8,77.0,8,United States,Aircraft leasing,Service,77.0,"Aircraft leasing, Self Made",9.0,3.0,"Westlake, Texas",United States,Married,4.0,"Bachelor of Arts/Science, University of California, Los Angeles",1.0,0.0,0.0,0.0,1
748,Elizabeth Uihlein,elizabeth-uihlein,3.8,77.0,8,United States,Packaging materials,Manufacturing,78.0,"Packaging materials, Self Made",7.0,,"Lake Forest, Illinois",United States,Married,3.0,,,,,,1
748,Richard Uihlein,richard-uihlein,3.8,77.0,8,United States,Packaging materials,Manufacturing,78.0,"Packaging materials, Self Made",7.0,,"Lake Forest, Illinois",United States,Married,3.0,"Bachelor of Arts/Science, Stanford University",1.0,0.0,0.0,0.0,1
766,Hayes Barnard,hayes-barnard,3.7,51.0,6,United States,Fintech,Finance & Investments,51.0,"Fintech, Self Made",10.0,,"Austin, Texas",United States,Married,3.0,"Bachelor of Business Administration, University of Missouri",1.0,0.0,0.0,0.0,1
766,William Berkley,william-berkley,3.7,76.0,8,United States,Insurance,Finance & Investments,76.0,"Insurance, Self Made",8.0,1.0,"Coconut Grove, Florida",United States,Married,3.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, New York University",1.0,1.0,0.0,0.0,1
766,Charles Cohen,charles-cohen,3.7,71.0,8,United States,Real estate,Real Estate,71.0,Real estate,5.0,1.0,"New York, New York",United States,Married,4.0,"Doctor of Jurisprudence, Brooklyn Law School; Bachelor of Arts/Science, Tufts University",1.0,0.0,0.0,0.0,0
766,Yakir Gabay,yakir-gabay,3.7,56.0,6,Cyprus,Real estate,Real Estate,57.0,"Real estate, Self Made",,,"London, United Kingdom",Cyprus,,,,,,,,1
766,Huang Li,huang-li-1,3.7,59.0,6,China,Imaging systems,Technology,60.0,"Imaging systems, Self Made",,,"Wuhan, China",China,Married,1.0,"Master of Science, Huazhong University of Science and Technology",0.0,1.0,0.0,0.0,1
766,Brad Jacobs,brad-jacobs,3.7,66.0,7,United States,Logistics,Logistics,67.0,"Logistics, Self Made",8.0,,"Greenwich, Connecticut",United States,Married,4.0,"Drop Out, Brown University",0.0,0.0,0.0,1.0,1
766,Ji Qi,ji-qi,3.7,56.0,6,China,"Hotels, motels",Real Estate,56.0,"Hotels, motels, Self Made",,,"Shanghai, China",China,,,"Bachelor of Engineering, Shanghai Jiao Tong University; Master of Science in Engineering, Shanghai Jiao Tong University",1.0,1.0,0.0,0.0,1
766,Jason Jiang,jason-jiang,3.7,50.0,5,China,Advertising,Media & Entertainment,50.0,"Advertising, Self Made",,,"Shanghai, China",China,Married,,"Bachelor of Arts/Science, Huadong Normal University; Bachelor of Arts/Science, Huadong Normal University",1.0,0.0,0.0,0.0,1
766,Jim Kavanaugh,jim-kavanaugh,3.7,60.0,6,United States,IT provider,Technology,60.0,"IT provider, Self Made",9.0,,"St. Louis, Missouri",United States,,,"Bachelor of Arts/Science, St. Louis University",1.0,0.0,0.0,0.0,1
766,Richard LeFrak & family,richard-lefrak,3.7,77.0,8,United States,Real estate,Real Estate,77.0,Real estate,5.0,2.0,"New York, New York",United States,Married,2.0,"Bachelor of Arts/Science, Amherst College; Doctor of Jurisprudence, Columbia University",1.0,0.0,0.0,0.0,0
766,Mikhail Lomtadze,mikhail-lomtadze,3.7,47.0,5,Georgia,Fintech,Finance & Investments,47.0,"Fintech, Self Made",,,"Almaty, Kazakhstan",Georgia,Single,,"Master of Business Administration, Harvard Business School",0.0,1.0,0.0,0.0,1
766,Tom Morris,tom-morris,3.7,68.0,7,United Kingdom,Retail,Fashion & Retail,68.0,"Retail, Self Made",,,"Merseyside, United Kingdom",United Kingdom,Married,,,,,,,1
766,Shigenobu Nagamori,shigenobu-nagamori,3.7,78.0,8,Japan,Motors,Manufacturing,78.0,"motors, Self Made",,,"Kyoto, Japan",Japan,Married,2.0,,,,,,1
766,Daniel Och,daniel-och,3.7,62.0,7,United States,Hedge funds,Finance & Investments,62.0,"Hedge funds, Self Made",7.0,3.0,"Miami Beach, Florida",United States,Married,3.0,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",1.0,0.0,0.0,0.0,1
766,Horst Paulmann & family,horst-paulmann,3.7,88.0,9,Chile,Retail,Fashion & Retail,88.0,"Retail, Self Made",,,"Santiago, Chile",Chile,Married,3.0,,,,,,1
766,Anthony Pritzker,anthony-pritzker,3.7,62.0,7,United States,"Hotels, investments",Service,62.0,"Hotels, investments",3.0,3.0,"Los Angeles, California",United States,Married,6.0,"Bachelor of Arts/Science, Dartmouth College",1.0,0.0,0.0,0.0,0
766,John Sall,john-sall,3.7,75.0,8,United States,Software,Technology,75.0,"Software, Self Made",8.0,2.0,"Cary, North Carolina",United States,Married,4.0,"Bachelor of Arts/Science, Beloit College; Master of Arts, Northern Illinois University",1.0,1.0,0.0,0.0,1
